"timestamp","sys_time","abs_timestamp","raw_x_lin_acc","raw_y_lin_acc","raw_z_lin_acc"
"963.0","1529263881637","256609682531706","-0.17334893","-0.048602104","0.051002502"
"969.0","1529263881642","256609687841765","-0.24827346","-0.08518684","0.012955666"
"973.0","1529263881647","256609692419401","-0.26753363","-0.13531673","0.07669926"
"978.0","1529263881653","256609697363249","-0.23531386","-0.09065628","-0.015885353"
"983.0","1529263881657","256609702307097","-0.2579167","-0.119599104","0.007974625"
"988.0","1529263881663","256609707250944","-0.2688165","-0.15076828","0.059976578"
"993.0","1529263881667","256609712194792","-0.25402963","-0.17703736","-0.065485"
"998.0","1529263881672","256609717504851","-0.28504172","-0.11364555","0.03437996"
"1003.0","1529263881676","256609722082487","-0.2654597","-0.14271843","0.005935669"
"1008.0","1529263881681","256609726995817","-0.2536971","-0.11510122","0.124111176"
"1013.0","1529263881686","256609731970183","-0.18541616","-0.1044482","0.17287922"
"1018.0","1529263881692","256609736914030","-0.15761891","-0.10118985","0.08436489"
"1023.0","1529263881696","256609741827360","-0.115581036","-0.0698781","0.053279877"
"1028.0","1529263881706","256609747167937","-0.18996072","-0.07246697","0.055583"
"1032.0","1529263881718","256609751715056","-0.19426432","-0.063097596","0.1806097"
"1037.0","1529263881719","256609756658903","-0.2179092","-0.05908096","0.1653986"
"1042.0","1529263881720","256609761602751","-0.21291146","-0.043531775","0.2683792"
"1047.0","1529263881722","256609766546599","-0.24555318","-0.11805141","0.16517067"
"1052.0","1529263881728","256609771490446","-0.27289474","-0.1590364","0.28945923"
"1058.0","1529263881732","256609776800505","-0.33992258","-0.20241165","0.17435074"
"1062.0","1529263881737","256609781378142","-0.3363806","-0.22112","0.078995705"
"1067.0","1529263881742","256609786321989","-0.31354907","-0.20190012","0.03636837"
"1072.0","1529263881746","256609791265837","-0.3162381","-0.12812924","0.04125309"
"1077.0","1529263881751","256609796209685","-0.2024926","-0.14672112","0.0460577"
"1082.0","1529263881756","256609801153532","-0.19528085","-0.1602807","-0.0011281967"
"1087.0","1529263881761","256609806463591","-0.23270397","-0.1573677","0.027640343"
"1092.0","1529263881766","256609811010710","-0.25989985","-0.17996943","0.0065345764"
"1097.0","1529263881771","256609815954558","-0.30538547","-0.21664762","-0.08755779"
"1102.0","1529263881776","256609820898405","-0.33114994","-0.1512276","-0.098285675"
"1107.0","1529263881780","256609825842253","-0.32573727","-0.1284498","-0.10661888"
"1111.0","1529263881785","256609830786101","-0.23299256","-0.12668836","-0.18811893"
"1117.0","1529263881791","256609836096159","-0.18133146","-0.10573149","-0.13443375"
"1121.0","1529263881795","256609840673796","-0.1423246","-0.07744026","-0.17331982"
"1126.0","1529263881800","256609845617644","-0.10896448","-0.09422958","-0.084415436"
"1131.0","1529263881805","256609850561491","-0.18719947","-0.07074869","0.027353287"
"1136.0","1529263881810","256609855505339","-0.17505991","-0.09469974","0.06973934"
"1141.0","1529263881815","256609860449187","-0.20765546","-0.10662222","-0.048748016"
"1146.0","1529263881821","256609865759245","-0.21864814","-0.08065927","-0.008093834"
